lat,long,unitdesc
-122.33754426991814,47.606121758459935,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST
-122.3381970161078,47.60683500384577,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST
-122.34001342746024,47.60882096003467,1ST AVE BETWEEN PIKE ST AND PINE ST
-122.34092204370612,47.60981422984278,1ST AVE BETWEEN PIKE ST AND PINE ST
-122.33419450473022,47.59239571706284,1ST AVE S BETWEEN S ROYAL BROUGHAM WAY AND S ATLANTIC ST
-122.33419545263598,47.59031216459784,1ST AVE S BETWEEN S ROYAL BROUGHAM WAY AND S ATLANTIC ST
-122.3580526067713,47.61977933640591,1ST AVE W BETWEEN W JOHN ST AND W THOMAS ST
-122.35804456583645,47.620946294888526,1ST AVE W BETWEEN W JOHN ST AND W THOMAS ST
-122.31815943443944,47.61525439179034,11TH AVE BETWEEN E PINE ST AND E OLIVE ST
-122.31817826739679,47.61642240727538,11TH AVE BETWEEN E PINE ST AND E OLIVE ST
-122.31673339049253,47.61288923577351,12TH AVE BETWEEN E MADISON ST AND E PIKE ST
-122.31683584950147,47.6141037689114,12TH AVE BETWEEN E MADISON ST AND E PIKE ST
-122.31545756722913,47.60805331029855,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST
-122.3154495531597,47.6092212786922,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST
-122.31196569346436,47.663083647266845,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST
-122.31193741873598,47.664892810988796,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST
-122.31155704865652,47.604341018785185,16TH AVE BETWEEN E ALDER W ST AND E JEFFERSON ST
-122.31155445522828,47.60618117522947,16TH AVE BETWEEN E ALDER W ST AND E JEFFERSON ST
-122.37888458854565,47.66789508498716,17TH AVE NW BETWEEN NW 54TH ST AND NW MARKET ST
-122.37888428745624,47.668656515849875,17TH AVE NW BETWEEN NW 54TH ST AND NW MARKET ST
